ngram,Intensity/max.value,ST/max.value,SP/max.value
가*/JKS,Medium,Argument,POS
가*/JKS;있/VV,Medium,Others,POS
가*/JKS;있/VV;었/EP,Medium,Argument,POS
가*/VV,Medium,Judgment,POS
가*/VV;ㄴ다*/EF,Low,Judgment,NEG
가/JKC,Medium,Judgment,POS
가/JKC;되/VV,Medium,Judgment,NEG
가/JKC;되/VV;ㄴ/ETM,Medium,Argument,POS
가/JKC;되/VV;ㄹ/ETM,Medium,Argument,POS
가/JKC;되/VV;어/EC,Low,Argument,POS
가/JKC;되/VV;어야지요/EF,Medium,Argument,POS
가/JKC;아니/VCN,High,Others,NEG
가/JKC;아니/VCN;ㄴ가/EC,High,Judgment,POS
가/JKC;아니/VCN;면/EC,High,Judgment,POS
가/JKC;아니/VCN;ㅂ니다/EF,Low,Argument,NEG
가/JKS,Medium,Judgment,POS
가/JKS;가능/NNG,Medium,Others,POS
가/JKS;가능/NNG;하/XSA,Medium,Judgment,NEG
가/JKS;가장/MAG,Low,Others,POS
가/JKS;가장/MAG;많이/MAG,Low,Judgment,POS
가/JKS;가장/MAG;어렵/VA,Medium,Judgment,POS
가/JKS;굵/VA,Medium,Judgment,POS
가/JKS;그/MM,High,Argument,POS
가/JKS;그/MM;동안/NNG,High,Argument,NEG
가/JKS;그리/MAG,Medium,Argument,POS
가/JKS;그리/MAG;밝/VA,Medium,Judgment,NEG
가/JKS;극대/NNG,High,Judgment,NEG
가/JKS;극대/NNG;화/XSN,High,Judgment,POS
가/JKS;꺾이/VV,High,Judgment,NEG
가/JKS;꽤/MAG,High,Argument,NEG
가/JKS;꽤/MAG;맞/VV,High,Judgment,POS
가/JKS;꿈/NNG,Medium,Argument,NEG
가/JKS;꿈/NNG;에/JKB,Medium,Argument,POS
가/JKS;나/NP,Medium,Judgment,POS
가/JKS;나/NP;에게/JKB,Medium,Argument,POS
가/JKS;나/VV,Medium,Judgment,POS
가/JKS;나오/VV,Medium,Judgment,POS
가/JKS;넘/VV,Low,Argument,POS
가/JKS;넘/VV;습니다/EF,Low,Argument,POS
가/JKS;높/VA,High,Judgment,POS
가/JKS;높/VA;아/EC,Low,Argument,POS
가/JKS;느끼/VV,Medium,Judgment,POS
가/JKS;느끼/VV;어/EC,Medium,Judgment,POS
가/JKS;늘/VV,Medium,Emotion,POS
가/JKS;늘/VV;고/EC,Medium,Judgment,POS
가/JKS;다르/VA,Medium,Judgment,POS
가/JKS;다르/VA;게/EC,Medium,Judgment,POS
가/JKS;단절/NNG,Medium,Argument,POS
가/JKS;더욱/MAG,Medium,Argument,POS
가/JKS;더욱/MAG;막중/XR,Medium,Judgment,POS
가/JKS;돋아나/VV,Medium,Argument,NEG
가/JKS;둘/NR,Medium,Judgment,NEG
가/JKS;둘/NR;로/JKB,Medium,Argument,NEG
가/JKS;들/VV,High,Argument,POS
가/JKS;뛰쳐나오/VV,Medium,Argument,POS
가/JKS;막/NNG,Medium,Judgment,POS
가/JKS;막/NNG;을/JKO,Medium,Judgment,NEG
가/JKS;막대/XR,Medium,Judgment,POS
가/JKS;막대/XR;하/XSA,Medium,Judgment,POS
가/JKS;많/VA,High,Judgment,POS
가/JKS;많/VA;고/EC,Medium,Argument,POS
가/JKS;많/VA;은/ETM,Low,Judgment,POS
가/JKS;많이/MAG,Low,Judgment,POS
가/JKS;많이/MAG;나오/VV,Low,Judgment,POS
가/JKS;맞/VV,Medium,Judgment,POS
가/JKS;맞/VV;지/EC,Medium,Agreement,POS
가/JKS;무대/NNG,Medium,Emotion,POS
가/JKS;무대/NNG;를/JKO,Medium,Judgment,POS
가/JKS;바늘/NNG,Medium,Argument,POS
가/JKS;바늘/NNG;에/JKB,Medium,Judgment,POS
가/JKS;보/VV,Medium,Argument,POS
가/JKS;보/VV;기/ETN,Medium,Argument,POS
가/JKS;살아나/VV,Medium,Judgment,POS
가/JKS;삼위일체/NNG,Medium,Judgment,POS
가/JKS;새/VV,Medium,Judgment,POS
가/JKS;새/VV;어/EC,Medium,Judgment,POS
가/JKS;생기/VV,Low,Judgment,POS
가/JKS;생기/VV;ㄴ다/EF,Medium,Argument,POS
가/JKS;생기/VV;었/EP,Low,Argument,POS
가/JKS;성행/NNG,Medium,Judgment,POS
가/JKS;성행/NNG;하/XSV,Medium,Judgment,NEG
가/JKS;속하/VV,Medium,Agreement,POS
가/JKS;속하/VV;아/EC,Medium,Argument,POS
가/JKS;쉽/VA,Medium,Judgment,POS
가/JKS;쉽/VA;게/EC,Medium,Judgment,POS
가/JKS;쉽/VA;지/EC,Medium,Judgment,POS
가/JKS;시급/XR,High,Judgment,POS
가/JKS;시급/XR;하/XSA,High,Argument,POS
가/JKS;쏠쏠/XR,Medium,Argument,POS
가/JKS;쏠쏠/XR;하/XSA,Medium,Judgment,COMP
가/JKS;아프/VA,Medium,Judgment,POS
가/JKS;아프/VA;고/EC,Medium,Argument,COMP
가/JKS;어우러지/VV,Medium,Judgment,POS
가/JKS;얼마나/MAG,Medium,Judgment,POS
가/JKS;얼마나/MAG;오랜/MM,High,Judgment,POS
가/JKS;얼마나/MAG;종류/NNG,Medium,Argument,POS
가/JKS;얼마나/MAG;좋/VA,Medium,Argument,POS
가/JKS;없/VA,Medium,Argument,NEG
가/JKS;없/VA;다/EF,Medium,Argument,POS
가/JKS;없/VA;잖아/EF,Medium,Judgment,POS
가/JKS;열리/VV,Medium,Judgment,NEG
가/JKS;열리/VV;ㄴ다/EF,Medium,Argument,POS
가/JKS;울리/VV,Medium,Argument,POS
가/JKS;울리/VV;ㄹ/ETM,Medium,Argument,POS
가/JKS;일어나/VV,Medium,Judgment,POS
가/JKS;일정/NNG,Medium,Judgment,NEG
가/JKS;일정/NNG;하/XSA,Medium,Judgment,POS
가/JKS;잇따르/VV,High,Judgment,POS
가/JKS;있/VV,Medium,Argument,POS
가/JKS;있/VV;나/EC,Low,Argument,POS
가/JKS;있/VV;다/EF,Medium,Argument,POS
가/JKS;있/VV;어/EC,Medium,Argument,POS
가/JKS;작용/NNG,Medium,Judgment,NEG
가/JKS;작용/NNG;하/XSV,Medium,Intention,POS
가/JKS;장주/NNG,Medium,Argument,POS
가/JKS;장주/NNG;가/JKC,Medium,Argument,POS
가/JKS;적/VA,Medium,Judgment,POS
가/JKS;적/VA;지/EC,Medium,Judgment,POS
가/JKS;주장/NNG,Medium,Judgment,POS
가/JKS;주장/NNG;하/XSV,Medium,Argument,POS
가/JKS;죽/VV,Medium,Argument,POS
가/JKS;죽/VV;어/EC,Medium,Argument,POS
가/JKS;줄/VV,Medium,Argument,POS
가/JKS;줄/VV;어/EC,Medium,Argument,POS
가/JKS;짧/VA,Medium,Judgment,POS
가/JKS;차/VV,Medium,Judgment,POS
가/JKS;차/VV;기/ETN,Medium,Argument,POS
가/JKS;차단/NNG,High,Judgment,POS
가/JKS;차단/NNG;되/XSV,High,Judgment,POS
가/JKS;크/VA,High,Intention,POS
가/JKS;크/VA;게/EC,High,Judgment,POS
가/JKS;태익/NNP,Medium,Argument,POS
가/JKS;태익/NNP;이/VCP,Medium,Argument,POS
가/JKS;특허/NNG,Medium,Judgment,POS
가/JKS;특허/NNG;와/JC,Medium,Argument,POS
가/JKS;평화/NNG,Medium,Argument,POS
가/JKS;평화/NNG;의/JKG,Medium,Judgment,POS
가/JKS;풀리/VV,Medium,Judgment,NEG
가/JKS;하/VV,Medium,Argument,NEG
가/JKS;하/VV;라는/ETM,Medium,Argument,POS
가/JKS;횡행/NNG,Medium,Argument,POS
가/JKS;횡행/NNG;하/XSV,Medium,Judgment,NEG
가/JKS;흐르/VV,Medium,Judgment,POS
가/JKS;힘/NNG,Medium,Argument,POS
가/JKS;힘/NNG;이/JKC,Medium,Judgment,NEG
가/VV,Medium,Argument,POS
가/VV;기/ETN,Medium,Judgment,POS
가/VV;기/ETN;시작/NNG,Medium,Argument,NEG
가/VV;ㄴ/ETM,High,Judgment,POS
가/VV;ㄴ/ETM;데/NNB,High,Judgment,NEG
가/VV;네/EC,Low,Argument,POS
가/VV;는/ETM,Medium,Argument,NEG
가/VV;는/ETM;것/NNB,Medium,Argument,NEG
가/VV;는/ETM;경우/NNG,Medium,Argument,POS
가/VV;ㄹ/ETM,Low,Judgment,NEG
가/VV;ㄹ/ETM;수/NNB,Low,Judgment,POS
가/VV;ㄹ수록/EC,None,Judgment,POS
가/VV;ㅂ시당/EF,Medium,Argument,POS
가/VV;았/EP,Medium,Judgment,POS
가/VV;았/EP;다/EC,Medium,Argument,POS
가/VV;았/EP;다가/EC,Medium,Argument,POS
가/VV;지/EF,Medium,Judgment,POS
가/VX,Medium,Judgment,POS
가/VX;고/EC,Medium,Judgment,POS
가/VX;고/EC;있/VX,Medium,Argument,POS
가/VX;ㄹ/ETM,Low,Argument,POS
가/VX;ㄹ/ETM;계획/NNG,Low,Argument,POS
가/VX;ㄹ/ETM;수/NNB,Medium,Argument,POS
가/VX;며/EC,None,Judgment,POS
가격/NNG,Medium,Judgment,POS
가격/NNG;보다/JKB,Medium,Argument,POS
가격/NNG;의/JKG,Medium,Argument,POS
가격/NNG;의/JKG;절반/NNG,Medium,Judgment,POS
가까이/MAG,Low,Judgment,NEUT
가까이/MAG;다가가/VV,Medium,Judgment,POS
가까이/MAG;초과/NNG,Low,Others,POS
가까이/MAG;초과/NNG;하/XSV,Low,Judgment,POS
가깝/VA,Low,Emotion,POS
가깝/VA;게/EC,Medium,Argument,POS
가깝/VA;게/EC;느끼/VV,Medium,Emotion,POS
가꾸/VV,Medium,Judgment,NEG
가꾸/VV;며/EC,Medium,Argument,POS
가꾸/VV;며/EC;살아오/VV,Medium,Judgment,POS
가늠/NNG,Medium,Speculation,POS
가늠/NNG;하/XSV,Medium,Argument,POS
가능*/NNG,Medium,Judgment,NEG
가능*/NNG;성/XSN,Medium,Argument,NEG
가능*/NNG;성/XSN;이/JKS,Medium,Judgment,NEG
가능/NNG,Medium,Judgment,NEG
가능/NNG;성/XSN,Medium,Argument,NEG
가능/NNG;성/XSN;의/JKG,High,Judgment,NEG
가능/NNG;성/XSN;이/JKS,Medium,Argument,NEG
가능/NNG;하/XSA,Medium,Others,POS
가능/NNG;하/XSA;게/EC,Medium,Judgment,POS
가능/NNG;하/XSA;ㄴ/ETM,Medium,Judgment,POS
가능/XR,Medium,Speculation,POS
가능/XR;성/XSN,Medium,Judgment,POS
가능/XR;성/XSN;은/JX,Medium,Speculation,POS
가능/XR;성/XSN;이/JKS,Medium,Speculation,POS
가도/NNG,Medium,Judgment,POS
가도/NNG;를/JKO,Medium,Judgment,POS
가도/NNG;를/JKO;달리/VV,Medium,Judgment,POS
가득/MAG,High,Judgment,POS
가득/MAG;차/VV,High,Judgment,POS
